,Names,review,cleaned_data
0,MihaVrhunc,"Every once in a while a movie comes, that truly makes an impact. Joaquin's performance and scenography in all it's brilliance. Grotesque, haunting and cringy. Hard to watch at times,... but so mesmerizing, you won't blink an eye watching it. Tragic, but with seriously funny moments. Emotional rollercoaster - sometimes, with multiple emotions popping-up at the same time.

this is far from a typical action-riddled predictable super-hero movie - it's a proper psychological thriller/drama, with the single best character development I have ever seen.",every movie comes truly makes impact joaquins performance scenography brilliance grotesque haunting cringy hard watch times mesmerizing wont blink eye watching tragic seriously funny moments emotional rollercoaster sometimes multiple emotions poppingup timethis far typical actionriddled predictable superhero movie proper psychological thrillerdrama single best character development ever seen
1,lesterarnoldpinto,"This is a movie that only those who have felt alone and isolated can truly relate to it. You understand the motive and you feel sorry for the character. A lot of people will see this movie and think that it encourages violence. But truly, this movie should encourage each and every one of us to become a better person, treat everyone with respect and make each other feel like they belong in this world, instead of making them feel isolated.",movie felt alone isolated truly relate understand motive feel sorry character lot people see movie think encourages violence truly movie encourage every one us become better person treat everyone respect make feel like belong world instead making feel isolated
2,Aman_Goyal,"Truly a masterpiece, The Best Hollywood film of 2019, one of the Best films of the decade... And truly the Best film to bring a comic book so chillingly and realistically to real ife. Remarkable Direction, Cinematography, Music and the Acting. Some people are surprised to find it DISTURBING and VIOLENT, but it's a necessity and message. It's about society and reflects those underappreciated/unrecognized/bullied people, proving they can do something too. The way it shows class difference, corruption and how rich and talented rule others around them is not exaggerated and that's what makes it different. It's BELIEVABLE. There could be multiple JOKERs living in our society that could shake those around them in much bitter way than the film shows making people uncomforting people. Consider this a wake up call, a message, but first a film. A PERFECT film.",truly masterpiece best hollywood film 2019 one best films decade truly best film bring comic book chillingly realistically real ife remarkable direction cinematography music acting people surprised find disturbing violent necessity message society reflects underappreciatedunrecognizedbullied people proving something way shows class difference corruption rich talented rule others around exaggerated thats makes different believable could multiple jokers living society could shake around much bitter way film shows making people uncomforting people consider wake call message first film perfect film
3,logical_guy,"Joaquin Phoenix gives a tour de force performance, fearless and stunning in its emotional depth and physicality. It's impossible to talk about this without referencing Heath Ledger's Oscar-winning performance from The Dark Knight, widely considered the definitive live-action portrayal of the Joker, so let's talk about it. The fact is, everyone is going to be stunned by what Phoenix accomplishes, because it's what many thought impossible - a portrayal that matches and potentially exceeds that of The Dark Knight's Clown Prince of Crime",joaquin phoenix gives tour de force performance fearless stunning emotional depth physicality impossible talk without referencing heath ledgers oscarwinning performance dark knight widely considered definitive liveaction portrayal joker lets talk fact everyone going stunned phoenix accomplishes many thought impossible portrayal matches potentially exceeds dark knights clown prince crime
4,kdagoulis26,"Most of the time movies are anticipated like this they end up falling short, way short. Joker is the first time I was more than happy with the hype. Please ignore the complaints of ""pernicious violence"" as they are embarrassing to say the least. We haven't seen a comic movie this real before. If we ever ""deserved"" a better class of criminal - Phillips and Phoenix have delivered. This is dark, Joker IS dark and you will fall in love with the villain as you should. The bad guys are always more romantic anyway.",time movies anticipated like end falling short way short joker first time happy hype please ignore complaints pernicious violence embarrassing say least havent seen comic movie real ever deserved better class criminal phillips phoenix delivered dark joker dark fall love villain bad guys always romantic anyway
5,VallejoDiego,"Let me start off by saying if Joaquin Phoneix doesn't get his Oscar for this movie. Then the Oscars should be cancelled. Phoneix is amazing as you might've heard from every review ever! But Todd Phillips. Is at his best here. The story lines he takes and visuals are just breathtaking. The score!! Omg the Score! Every time that score came on, I felt very uncomfortable, like something horrible was about to happen. It was GREAT. The Inspirations from Taxi Driver and King of Comedy are there, and add so much for the movie. And I got to be honest. There are scenes that are very violent. And its disturbing. But I honestly expected it to be WAYYYY more violent from all the controversy going on. Overall this movie was GREAT. Come Oscar season, it needs to be nominated for Best Picture, ScreenPlay, Cinematography, Actor, Score and Director",let start saying joaquin phoneix doesnt get oscar movie oscars cancelled phoneix amazing mightve heard every review ever todd phillips best story lines takes visuals breathtaking score omg score every time score came felt uncomfortable like something horrible happen great inspirations taxi driver king comedy add much movie got honest scenes violent disturbing honestly expected wayyyy violent controversy going overall movie great come oscar season needs nominated best picture screenplay cinematography actor score director
6,mariamelkott,"I get why some people hate this . It's because of the political message and how some people think that you need get empathy for Arthur's madness. But come on that is not the point and it will never be. Enjoy this masterpiece because Joaquin Phoenix and Todd Phillips overdid themselves with this movie . The acting,music and cinematography are just amazing ! Please enjoy the movie without overthinking it.",get people hate political message people think need get empathy arthurs madness come point never enjoy masterpiece joaquin phoenix todd phillips overdid movie actingmusic cinematography amazing please enjoy movie without overthinking
7,t-viktor212,"I have seen Joker yesterday at Venice an early ill-fated screening. We had some trouble with audio that lead to a near-hour delay, but it definitely was worth it.

Joker deserved to be presented at Venice Film Festival, an event that regards cinema as a form of art, because this film is far from a blockbuster or a mere entertainer movie, as most films in the genre are.

It focuses on the psyche of the main character, as it slowly crumbles under the pressure of society. And thus, Joaquin Phoenix does a wonderful performance, earning almost surely a nomination at the oscars at least. It's a take on the Joker that differs from Ledger's, but I'd say that both are equally as good. The main difference might be that Ledger's joker is a rational that acts insane, while Phoenix's is insane to the root.

Despite being a movie about a superhero villain, Joker is much superior to most of the movies of the genre (I'd exclude the Dark Knight Trilogy only, but Joker is easily as good as Nolan's movies, or at least very close). It is a small-scaled film, with a distinct style and cinematography (that cannot but be appreciated) and a set of very cinephile references that however do not feel too forced or overly opressive. (most notable are the similarities to Scorsese's 'Taxi Driver' and his 'The King of Comedy', but also Chaplin's 'Modern Times' is somewhat referenced).

I am eager to see more non-comedic efforts by Todd Phillips. This movie was so far probably the best of 2019 (at worst contested so far only by Dolor Y Gloria or Once Upon a Time in Hollywood), and that should be very convincing.",seen joker yesterday venice early illfated screening trouble audio lead nearhour delay definitely worth itjoker deserved presented venice film festival event regards cinema form art film far blockbuster mere entertainer movie films genre areit focuses psyche main character slowly crumbles pressure society thus joaquin phoenix wonderful performance earning almost surely nomination oscars least take joker differs ledgers id say equally good main difference might ledgers joker rational acts insane phoenixs insane rootdespite movie superhero villain joker much superior movies genre id exclude dark knight trilogy joker easily good nolans movies least close smallscaled film distinct style cinematography cannot appreciated set cinephile references however feel forced overly opressive notable similarities scorseses taxi driver king comedy also chaplins modern times somewhat referencedi eager see noncomedic efforts todd phillips movie far probably best 2019 worst contested far dolor gloria upon time hollywood convincing
8,johnnash-18420,"It's sad that Joaquin missed Oscar for 'The gladiator' as he was very compelling Villain. But I am quite confident he will win it for the 'Joker'. Damn what a movie !!! Keeps u on the toes all the time. Unpredictable storyline and really a deep interesting plot. Did I forget to mention acting ? Damn Do niro and Joaquin teach u what really is 5 star acting. To enjoy this movie, get a wine in your hand, close the curtains, turn of ur cellphones and put do not disturb sign on ur door. Best Dark thriller suspense movie you will get to experience.",sad joaquin missed oscar gladiator compelling villain quite confident win joker damn movie keeps u toes time unpredictable storyline really deep interesting plot forget mention acting damn niro joaquin teach u really 5 star acting enjoy movie get wine hand close curtains turn ur cellphones put disturb sign ur door best dark thriller suspense movie get experience
9,pavao-radic22,,
